SITE,TEST_PHASE,BASELINE_BMD,MODEL_BMD,CHANGE_BMD,CI_lower_BMD,CI_upper_BMD,PCT_CHANGE,CI_lower_pct,CI_upper_pct
Hip,PRE_TEST,1.0066008548576388,1.0066008548576388,0.0,0.0,0.0,0.0,0.0,0.0
Hip,IN_TEST,1.0066008548576388,0.9748455915360078,-0.031755263321631054,-0.06118066871850406,-0.0023298579247580456,-3.1547025981934143,-6.0779472243898205,-0.23145797199700885
Hip,POST_TEST,1.0066008548576388,0.9802479671212737,-0.02635288773636513,-0.050508902284461143,-0.002196873188269121,-2.6180076848923557,-5.017768665774131,-0.2182467040105802
Hip,FOLLOWUP_6MO,1.0066008548576388,1.0078535436832052,0.0012526888255663443,-0.026926215994172657,0.029431593645305343,0.12444742317882385,-2.6749645466952012,2.9238593930528483
Hip,FOLLOWUP_1Y,1.0066008548576388,1.0102198666412516,0.003619011783612901,-0.024003485739263766,0.03124150930648957,0.35952798630642224,-2.3846081218218838,3.1036640944347282
Spine,PRE_TEST,1.0222395833333333,1.0222395833333333,0.0,0.0,0.0,0.0,0.0,0.0
Spine,IN_TEST,1.0222395833333333,1.0208808549360078,-0.0013587283973254191,-0.030784133794198424,0.028066676999547586,-0.13291682492815024,-3.0114402040485544,2.745606554192254
Spine,POST_TEST,1.0222395833333333,1.0183122126181874,-0.003927370715145928,-0.028083385263241934,0.020228643832950078,-0.384192784077046,-2.7472410304898616,1.9788554623357695
Spine,FOLLOWUP_6MO,1.0222395833333333,1.0124417789773228,-0.009797804356010307,-0.03797670917574931,0.018381100463728692,-0.9584645826432867,-3.7150497588749514,1.7981205935883777
Spine,FOLLOWUP_1Y,1.0222395833333333,1.0148309777523628,-0.007408605580970326,-0.035031103103846994,0.020213891941906342,-0.7247425849830859,-3.4268975370350145,1.977412367068843
